VV: Vanguard Large Cap ETF
Inception Date: 2004-01-27
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	11821171
Shares Outstanding: 97437000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Large Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VV


Holding,Symbol,Weighting
W. R. Berkley Corp,WRB,0.0284%
Broadridge Financial Solutions Inc,BR,0.0282%
Robert Half International Inc,RHI,0.0282%
Hubbell Inc,HUBB,0.0279%
People's United Financial Inc,PBCT,0.0277%
Arrow Electronics Inc,ARW,0.0277%
OGE Energy Corp,OGE,0.0275%
Invitation Homes Inc,INVH,0.0273%
Garmin Ltd,GRMN,0.0272%
LogMeIn Inc,LOGM,0.0272%
CIT Group Inc,CIT,0.0272%
XPO Logistics Inc,XPO,0.0268%
Acuity Brands Inc,AYI,0.0268%
New York Community Bancorp Inc,NYCB,0.0267%
IAC/InterActiveCorp,IAC,0.0267%
Black Knight Inc,BKI,0.0265%
Diamondback Energy Inc,FANG,0.0259%
Teleflex Inc,TFX,0.0255%
Ralph Lauren Corp,RL,0.0252%
Reliance Steel & Aluminum Co,RS,0.025%
Kimco Realty Corp,KIM,0.025%
Discovery Inc,DISCK,0.0249%
SCANA Corp,SCG,0.0238%
Cash Component,CASH,0.0236%
Nordstrom Inc,JWN,0.0234%
Continental Resources Inc,CLR,0.0234%
Domino's Pizza Inc,DPZ,0.0229%
Brighthouse Financial Inc,BHF,0.0222%
Packaging Corp of America,PKG,0.0221%
Targa Resources Corp,TRGP,0.0218%
Allison Transmission Holdings Inc,ALSN,0.0214%
Ingredion Inc,INGR,0.0213%
Antero Resources Corp,AR,0.0202%
Cognex Corp,CGNX,0.0195%
HollyFrontier Corp,HFC,0.0193%
Westlake Chemical Corp,WLK,0.019%
Alcoa Corp,AA,0.0181%
Helmerich and Payne Inc,HP,0.0157%
Hyatt Hotels Corp,H,0.0154%
Liberty Media Corp,LSXMA,0.0151%
FLIR Systems Inc,FLIR,0.0149%
Goodyear Tire & Rubber Co,GT,0.0143%
Discovery Inc,DISCA,0.0142%
Avangrid Inc,AGR,0.0133%
Sprint Corp,S,0.0129%
Flowserve Corp,FLS,0.0128%
Under Armour Inc,UAA,0.0128%
Seattle Genetics Inc,SGEN,0.012%
Stericycle Inc,SRCL,0.0118%
Under Armour Inc,UA,0.0116%
Altice USA Inc,ATUS,0.01%
Brixmor Property Group Inc,BRX,0.0099%
Mattel Inc,MAT,0.0098%
TripAdvisor Inc,TRIP,0.0094%
Liberty Broadband Corp,LBRDA,0.0084%
Macquarie Infrastructure Corp,MIC,0.0062%
Pilgrims Pride Corp,PPC,0.0048%
ADT Inc,ADT,0.0041%
